(Synset(decrease.v.01), [56, 2])
(Synset(take.v.04), [54, 2])
(Synset(bodily_process.n.01), [53, 2])
(Synset(higher_cognitive_process.n.01), [52, 2])
(Synset(decide.v.01), [52, 2])
(Synset(convey.v.01), [48, 2])
(Synset(appoint.v.02), [45, 2])
(Synset(drug.n.01), [45, 2])
(Synset(grow.v.02), [44, 2])
(Synset(ill_health.n.01), [43, 2])
(Synset(unwelcome_person.n.01), [43, 2])
(Synset(magnitude.n.01), [42, 2])
(Synset(visual_property.n.01), [41, 2])
(Synset(symptom.n.01), [41, 2])
(Synset(change_of_integrity.n.01), [40, 2])
(Synset(expert.n.01), [40, 2])
(Synset(bird.n.01), [40, 2])
(Synset(prevent.v.02), [40, 2])
(Synset(surface.n.01), [40, 2])
(Synset(language_unit.n.01), [39, 2])
(Synset(fundamental_quantity.n.01), [39, 2])
(Synset(music.n.01), [38, 2])
(Synset(protective_covering.n.01), [38, 2])
(Synset(wrongdoing.n.02), [38, 2])
(Synset(fish.n.01), [38, 2])
(Synset(break.v.10), [37, 2])
(Synset(solid.n.03), [37, 2])
(Synset(repeat.v.01), [36, 2])
(Synset(indispose.v.03), [35, 2])
(Synset(emotion.n.01), [35, 2])
(Synset(regenerate.v.01), [33, 2])
(Synset(color.n.01), [33, 2])
(Synset(writing.n.04), [33, 2])
(Synset(touch.v.05), [33, 2])
(Synset(propulsion.n.02), [33, 2])
(Synset(commercial_enterprise.n.02), [32, 2])
(Synset(chromatic_color.n.01), [32, 2])
(Synset(social_event.n.01), [31, 2])
(Synset(science.n.01), [30, 2])
(Synset(traveler.n.01), [30, 2])
(Synset(express.v.01), [30, 2])
(Synset(representation.n.02), [29, 2])
(Synset(promise.v.01), [29, 2])
(Synset(change_by_reversal.v.01), [29, 2])
(Synset(way.n.06), [28, 2])
(Synset(movement.n.03), [28, 2])
(Synset(determine.v.03), [27, 2])
(Synset(datum.n.01), [27, 2])
(Synset(psychological_state.n.01), [27, 2])
(Synset(capitalist.n.02), [27, 2])
(Synset(written_symbol.n.01), [26, 2])
(Synset(belief.n.01), [26, 2])
(Synset(comment.v.01), [25, 2])
(Synset(serviceman.n.01), [25, 2])
(Synset(fruit.n.01), [25, 2])
(Synset(support.n.10), [25, 2])
(Synset(point.n.02), [25, 2])
(Synset(shape.v.03), [25, 2])
(Synset(atmospheric_phenomenon.n.01), [24, 2])
(Synset(building_material.n.01), [24, 2])
(Synset(foodstuff.n.02), [23, 2])
(Synset(preserver.n.03), [23, 2])
(Synset(product.n.02), [23, 2])
(Synset(illness.n.01), [23, 2])
(Synset(management.n.01), [23, 2])
(Synset(difficulty.n.03), [22, 2])
(Synset(challenge.v.02), [22, 2])
(Synset(empty.v.01), [21, 2])
(Synset(taxonomic_group.n.01), [21, 2])
(Synset(equine.n.01), [21, 2])
(Synset(footwear.n.02), [21, 2])
(Synset(speculation.n.03), [20, 2])
(Synset(bend.v.01), [20, 2])
(Synset(perception.n.03), [20, 2])
(Synset(separation.n.09), [20, 2])
(Synset(wrong.v.01), [20, 2])
(Synset(improvement.n.02), [19, 2])
(Synset(craft.n.02), [19, 2])
(Synset(representative.n.01), [18, 2])
(Synset(edible_fruit.n.01), [18, 2])
(Synset(aptitude.n.01), [18, 2])
(Synset(manipulate.v.02), [18, 2])
(Synset(name.n.01), [18, 2])
(Synset(investigation.n.02), [18, 2])
(Synset(speech.n.02), [18, 2])
(Synset(meat.n.01), [18, 2])
(Synset(travel.n.01), [18, 2])
(Synset(request.v.02), [17, 2])
(Synset(cost.n.01), [17, 2])
(Synset(visual_communication.n.01), [17, 2])
(Synset(design.n.04), [17, 2])
(Synset(aquatic_bird.n.01), [17, 2])
(Synset(dancing.n.01), [17, 2])
(Synset(plant_material.n.01), [17, 2])
(Synset(art.n.01), [16, 2])
(Synset(control.n.05), [16, 2])
(Synset(situation.n.01), [16, 2])
(Synset(self-propelled_vehicle.n.01), [16, 2])
(Synset(extremity.n.01), [16, 2])
(Synset(spiny-finned_fish.n.01), [16, 2])
(Synset(intellectual.n.01), [16, 2])
(Synset(impede.v.01), [16, 2])
(Synset(invite.v.04), [16, 2])
(Synset(influence.v.01), [16, 2])
(Synset(handle.v.04), [16, 2])
(Synset(space.n.02), [16, 2])
(Synset(designate.v.01), [16, 2])
(Synset(musical_instrument.n.01), [16, 2])
(Synset(electromagnetic_radiation.n.01), [15, 2])
(Synset(try.v.01), [15, 2])
(Synset(outgo.n.01), [15, 2])
(Synset(beverage.n.01), [15, 2])
